"Comparison","SampleSizes","Median_Min_Max","Mean_SD","MagnitudeTest","PerfectSeparation","trial","panel"
"Wk-5 vs. Wk21",18,"0.0009 [0.0001, 0.0030] vs. 0.8958 [0.0925, 3.6950]","0.0010 (0.0007) vs. 1.1552 (0.9308)",7.62939453125e-06,TRUE,"G003","A"
"Wk-5 vs. Wk8",18,"0.0007 [0.0001, 0.0031] vs. 0.2393 [0.0632, 0.9268]","0.0008 (0.0007) vs. 0.2903 (0.2048)",7.62939453125e-06,TRUE,"G003","B"
"Wk-5 vs. Wk10",18,"0.0007 [0.0001, 0.0031] vs. 0.5787 [0.1152, 1.7352]","0.0008 (0.0007) vs. 0.7455 (0.5173)",7.62939453125e-06,TRUE,"G003","B"
"Wk-5 vs. Wk16",17,"0.0008 [0.0001, 0.0031] vs. 0.3365 [0.0632, 1.6900]","0.0009 (0.0007) vs. 0.4517 (0.3870)",1.52587890625e-05,TRUE,"G003","B"
"Wk-5 vs. Wk21",18,"0.0007 [0.0001, 0.0031] vs. 0.3750 [0.0532, 0.9696]","0.0008 (0.0007) vs. 0.4662 (0.3160)",7.62939453125e-06,TRUE,"G003","B"
"Wk-5 vs. Wk8",18,"87.6471 [53.3333, 100.0000] vs. 49.1932 [29.0277, 60.2194]","84.9142 (13.7540) vs. 48.2984 (7.9988)",7.62939453125e-06,FALSE,"G003","C"
"Wk-5 vs. Wk10",18,"87.6471 [53.3333, 100.0000] vs. 27.8123 [14.9554, 46.7083]","84.9142 (13.7540) vs. 29.3815 (8.1904)",7.62939453125e-06,TRUE,"G003","C"
"Wk-5 vs. Wk16",17,"88.2353 [53.3333, 100.0000] vs. 48.3516 [28.6586, 62.3758]","85.9876 (13.3776) vs. 44.9238 (11.5890)",3.0517578125e-05,FALSE,"G003","C"
"Wk-5 vs. Wk21",18,"87.6471 [53.3333, 100.0000] vs. 45.0970 [25.5024, 62.3275]","84.9142 (13.7540) vs. 45.9845 (10.2484)",7.62939453125e-06,FALSE,"G003","C"
"Wk-5 vs. Wk8",10,"0.0000 [0.0000, 0.0006] vs. 0.0438 [0.0000, 0.1402]","0.0001 (0.0002) vs. 0.0618 (0.0517)",0.00390625,FALSE,"G003","E"
"Wk-5 vs. Wk10",10,"0.0000 [0.0000, 0.0006] vs. 0.0926 [0.0000, 0.2082]","0.0001 (0.0002) vs. 0.0929 (0.0623)",0.00390625,FALSE,"G003","E"
"Wk-5 vs. Wk16",10,"0.0000 [0.0000, 0.0006] vs. 0.1119 [0.0000, 0.2422]","0.0001 (0.0002) vs. 0.1107 (0.0771)",0.00390625,FALSE,"G003","E"
"Wk-5 vs. Wk21",10,"0.0000 [0.0000, 0.0006] vs. 0.1637 [0.0000, 0.2737]","0.0001 (0.0002) vs. 0.1456 (0.0994)",0.00390625,FALSE,"G003","E"
